thisRow.t,notes,phase,trial_num,center_ori,surround_ori,surround_present,cs_type,reinforced,config_id,left_center_contrast,right_center_contrast,trial_start_frame,trial_end_frame,subject,session,
,,habituation,1,45,315,1,CS-,0,C45_S315_L0.5_R0.5,0.5,0.5,0,71,lets see,001,
,,habituation,2,315,None,0,none,0,C315_SNone_L0.5_R0.5,0.5,0.5,108,179,lets see,001,
,,habituation,3,45,None,0,none,0,C45_SNone_L0.5_R0.5,0.5,0.5,216,287,lets see,001,
,,habituation,4,45,None,0,none,0,C45_SNone_L0.5_R0.5,0.5,0.5,324,395,lets see,001,
,,habituation,5,75,45,1,CS+,0,C75_S45_L0.5_R0.5,0.5,0.5,432,503,lets see,001,
,,habituation,6,45,None,0,none,0,C45_SNone_L0.5_R0.5,0.5,0.5,540,611,lets see,001,
,,habituation,7,75,None,0,none,0,C75_SNone_L0.5_R0.5,0.5,0.5,648,719,lets see,001,
,,habituation,8,75,315,1,CS-,0,C75_S315_L0.5_R0.5,0.5,0.5,756,827,lets see,001,
,,habituation,9,315,None,0,none,0,C315_SNone_L0.5_R0.5,0.5,0.5,864,935,lets see,001,
,,habituation,10,55,None,0,none,0,C55_SNone_L0.5_R0.5,0.5,0.5,972,1043,lets see,001,
,,habituation,11,315,315,1,CS-,0,C315_S315_L0.5_R0.5,0.5,0.5,1080,1151,lets see,001,
,,habituation,12,315,315,1,CS-,0,C315_S315_L0.5_R0.5,0.5,0.5,1188,1259,lets see,001,
,,habituation,13,75,45,1,CS+,0,C75_S45_L0.5_R0.5,0.5,0.5,1296,1367,lets see,001,
,,habituation,14,45,45,1,CS+,0,C45_S45_L0.5_R0.5,0.5,0.5,1404,1475,lets see,001,
,,habituation,15,315,45,1,CS+,0,C315_S45_L0.5_R0.5,0.5,0.5,1512,1583,lets see,001,
,,habituation,16,315,45,1,CS+,0,C315_S45_L0.5_R0.5,0.5,0.5,1620,1691,lets see,001,
