trial_num,upper_lower_phase_mode,modulation_mode,center_flicker_hz,surround_flicker_hz,center_ori,surround_ori,center_contrast,surround_contrast,refresh_hz,trial_start_frame,trial_end_frame,condition_id,subject,session,run,
1,offset,on_off_flicker,3,3.75,45,45,0.75,1.0,120.00089999963313,240,1199,8,ryan,001,001,
2,synchronized,on_off_flicker,3,3.75,45,45,0.75,1.0,120.00089999963313,1440,2399,7,ryan,001,001,
3,offset,on_off_flicker,3,3.75,45,None,0.75,1.0,120.00089999963313,2640,3599,4,ryan,001,001,
4,synchronized,phase_reversal,3,3.75,45,45,0.75,1.0,120.00089999963313,3840,4799,5,ryan,001,001,
5,offset,on_off_flicker,3,3.75,45,None,0.75,1.0,120.00089999963313,5040,5999,4,ryan,001,001,
6,synchronized,phase_reversal,3,3.75,45,315,0.75,1.0,120.00089999963313,6240,7199,9,ryan,001,001,
7,synchronized,phase_reversal,3,3.75,45,None,0.75,1.0,120.00089999963313,7440,8399,1,ryan,001,001,
8,offset,on_off_flicker,3,3.75,45,None,0.75,1.0,120.00089999963313,8640,9599,4,ryan,001,001,
9,synchronized,phase_reversal,3,3.75,45,None,0.75,1.0,120.00089999963313,9840,10799,1,ryan,001,001,
10,offset,on_off_flicker,3,3.75,45,315,0.75,1.0,120.00089999963313,11040,11999,12,ryan,001,001,
11,offset,phase_reversal,3,3.75,45,315,0.75,1.0,120.00089999963313,12240,13199,10,ryan,001,001,
12,offset,on_off_flicker,3,3.75,45,315,0.75,1.0,120.00089999963313,13440,14399,12,ryan,001,001,
13,offset,phase_reversal,3,3.75,45,None,0.75,1.0,120.00089999963313,14640,15599,2,ryan,001,001,
14,offset,phase_reversal,3,3.75,45,45,0.75,1.0,120.00089999963313,15840,16799,6,ryan,001,001,
15,synchronized,on_off_flicker,3,3.75,45,315,0.75,1.0,120.00089999963313,17040,17999,11,ryan,001,001,
16,synchronized,on_off_flicker,3,3.75,45,315,0.75,1.0,120.00089999963313,18240,19199,11,ryan,001,001,
17,offset,on_off_flicker,3,3.75,45,45,0.75,1.0,120.00089999963313,19440,20399,8,ryan,001,001,
18,synchronized,phase_reversal,3,3.75,45,315,0.75,1.0,120.00089999963313,20640,21599,9,ryan,001,001,
19,offset,phase_reversal,3,3.75,45,None,0.75,1.0,120.00089999963313,21840,22799,2,ryan,001,001,
20,offset,phase_reversal,3,3.75,45,45,0.75,1.0,120.00089999963313,23040,23999,6,ryan,001,001,
21,synchronized,on_off_flicker,3,3.75,45,None,0.75,1.0,120.00089999963313,24240,25199,3,ryan,001,001,
